number of dependents,number of referrals,tenure in months,phone service,avg monthly long distance charges,multiple lines,internet service,internet type,avg monthly gb download,online security,online backup,device protection plan,premium tech support,unlimited data,contract,paperless billing,payment method,monthly charge,total revenue,churned,age_group
0,2,9,1,42.39,0,1,Cable,16.0,0,1,0,1,1,One Year,1,Credit Card,65.6,974.81,0,35-44
0,0,9,1,10.69,1,1,Cable,10.0,0,0,0,0,0,Month-to-Month,0,Credit Card,-4.0,610.28,0,45-54
0,0,4,1,33.65,0,1,Fiber Optic,30.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,73.9,415.45,1,45-54
0,1,13,1,27.82,0,1,Fiber Optic,4.0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,98.0,1599.51,1,65-80
0,3,3,1,7.38,0,1,Fiber Optic,11.0,0,0,0,1,1,Month-to-Month,1,Credit Card,83.9,289.54,1,65-80
3,0,9,1,16.77,0,1,Cable,73.0,0,0,0,1,1,Month-to-Month,1,Credit Card,69.4,722.38,0,18-24
0,1,71,1,9.96,0,1,Fiber Optic,14.0,1,1,1,1,1,Two Year,1,Bank Withdrawal,109.7,8611.41,0,65-80
0,8,63,1,12.96,1,1,Fiber Optic,7.0,1,0,0,1,0,Two Year,1,Credit Card,84.65,6214.28,0,45-54
0,0,7,1,10.53,0,1,DSL,21.0,1,0,0,0,1,Two Year,1,Bank Withdrawal,48.2,414.06,0,65-80
1,3,65,1,28.46,1,1,Cable,14.0,1,1,1,1,1,Two Year,1,Credit Card,90.45,7807.8,0,35-44
0,0,54,0,0.0,0,1,Cable,10.0,1,0,0,1,1,Two Year,0,Credit Card,45.2,2460.55,0,45-54
2,2,72,1,16.01,1,1,Fiber Optic,59.0,1,1,1,1,1,Two Year,1,Credit Card,116.8,9609.47,0,25-34
0,0,5,1,18.65,0,1,Fiber Optic,10.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,68.95,444.75,0,55-64
0,0,72,1,2.25,1,1,Fiber Optic,16.0,1,1,1,0,1,Two Year,1,Bank Withdrawal,101.3,7423.25,0,25-34
0,0,56,0,0.0,0,1,DSL,19.0,1,1,1,1,1,Two Year,0,Bank Withdrawal,45.05,2560.1,0,35-44
2,9,71,1,27.26,1,1,Fiber Optic,12.0,0,1,1,0,1,Two Year,1,Credit Card,95.75,8784.86,0,55-64
1,0,34,0,0.0,0,1,DSL,20.0,1,0,1,1,1,One Year,0,Credit Card,61.25,1993.2,0,45-54
0,0,1,1,7.77,1,1,Fiber Optic,22.0,0,0,0,0,1,One Year,1,Bank Withdrawal,72.1,79.87,0,65-80
0,0,45,1,10.67,0,1,DSL,17.0,1,0,1,0,1,One Year,0,Credit Card,62.7,3271.65,1,65-80
0,0,1,0,0.0,0,1,Cable,9.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,25.1,25.1,1,65-80
0,0,50,1,31.43,1,0,No,0.0,0,0,0,0,0,One Year,0,Bank Withdrawal,25.2,2877.8,0,65-80
0,1,13,1,43.56,1,1,Fiber Optic,52.0,0,1,1,0,1,Month-to-Month,0,Bank Withdrawal,94.1,1781.88,1,25-34
2,1,23,1,34.91,1,1,Fiber Optic,30.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,83.75,2652.88,0,25-34
0,0,3,1,3.12,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.85,66.56,0,18-24
0,0,4,1,12.43,0,0,No,0.0,0,0,0,0,0,Month-to-Month,0,Credit Card,20.35,126.07,1,25-34
1,1,1,0,0.0,0,1,DSL,19.0,1,0,0,0,1,Month-to-Month,0,Bank Withdrawal,30.5,30.5,1,35-44
3,10,55,1,35.04,0,1,Fiber Optic,57.0,0,1,1,1,0,One Year,1,Bank Withdrawal,103.7,7603.95,0,35-44
3,3,54,1,19.7,0,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,20.4,2154.4,0,35-44
0,0,26,1,37.7,0,0,No,0.0,0,0,0,0,0,One Year,1,Bank Withdrawal,19.6,1430.8,0,55-64
3,5,69,1,38.39,0,0,No,0.0,0,0,0,0,0,Two Year,0,Bank Withdrawal,19.7,4045.81,0,45-54
3,1,37,1,43.01,0,1,Fiber Optic,51.0,0,0,0,0,1,One Year,0,Credit Card,91.2,4838.92,0,18-24
0,5,49,1,49.58,0,0,No,0.0,0,0,0,0,0,One Year,0,Bank Withdrawal,20.45,3330.32,0,45-54
0,9,66,1,43.77,1,1,Fiber Optic,41.0,1,1,1,1,1,One Year,0,Bank Withdrawal,-2.0,10830.97,0,25-34
0,0,67,1,23.12,0,0,No,0.0,0,0,0,0,0,One Year,0,Bank Withdrawal,20.55,2861.91,0,25-34
1,4,20,0,0.0,0,1,Cable,22.0,1,0,1,1,1,Two Year,1,Credit Card,39.4,825.4,0,25-34
3,0,43,1,30.64,1,0,No,0.0,0,0,0,0,0,Two Year,1,Bank Withdrawal,25.1,2387.67,0,25-34
0,2,55,1,5.08,1,1,Fiber Optic,9.0,1,0,0,0,1,Month-to-Month,1,Bank Withdrawal,89.8,5239.0,0,35-44
0,4,59,1,16.39,1,1,Fiber Optic,14.0,1,1,0,0,1,Month-to-Month,1,Bank Withdrawal,94.75,6564.66,0,55-64
3,3,12,1,19.28,0,0,No,0.0,0,0,0,0,0,Two Year,0,Bank Withdrawal,20.3,455.86,0,45-54
3,7,27,1,25.26,1,1,Fiber Optic,23.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,75.75,2611.02,0,55-64
0,0,2,1,43.99,0,1,DSL,27.0,1,0,0,0,1,Month-to-Month,1,Bank Withdrawal,49.25,179.08,1,65-80
0,0,27,1,48.91,0,1,DSL,59.0,0,1,1,1,1,One Year,0,Credit Card,78.2,3399.52,0,18-24
3,1,25,1,23.69,1,0,No,0.0,0,0,0,0,0,Two Year,0,Credit Card,25.5,1178.43,0,25-34
0,5,25,1,6.45,0,1,Cable,19.0,1,1,1,0,1,One Year,1,Bank Withdrawal,61.6,1727.35,0,45-54
1,0,29,0,0.0,0,1,DSL,21.0,1,1,1,1,1,Month-to-Month,1,Credit Card,45.0,1230.19,0,55-64
0,5,72,1,32.36,1,1,DSL,52.0,0,1,1,1,1,Two Year,1,Bank Withdrawal,85.15,8646.12,0,18-24
0,0,14,1,24.04,0,1,Cable,12.0,0,1,0,0,1,One Year,0,Credit Card,51.45,1064.41,0,55-64
0,0,35,1,36.42,0,1,Fiber Optic,2.0,0,0,1,1,1,One Year,1,Bank Withdrawal,99.25,4806.7,0,35-44
0,0,1,1,42.95,0,1,DSL,9.0,0,0,0,0,1,Month-to-Month,1,Credit Card,44.3,87.25,0,45-54
0,0,29,1,2.05,0,1,Fiber Optic,17.0,0,0,0,1,0,Month-to-Month,1,Bank Withdrawal,94.2,2687.05,0,45-54
0,0,64,1,5.49,1,1,DSL,69.0,1,1,1,1,0,One Year,0,Bank Withdrawal,81.25,5958.91,0,25-34
3,1,39,1,24.38,1,1,Fiber Optic,53.0,0,0,0,1,1,Month-to-Month,1,Credit Card,99.95,4718.22,0,35-44
0,0,40,1,44.14,0,1,Fiber Optic,23.0,0,0,0,0,1,Two Year,1,Bank Withdrawal,91.55,5439.2,0,65-80
0,0,40,1,37.69,1,1,Fiber Optic,15.0,0,1,1,0,1,Month-to-Month,1,Credit Card,104.5,5544.45,1,45-54
1,0,11,1,11.59,0,1,Fiber Optic,29.0,0,1,0,0,0,Month-to-Month,1,Bank Withdrawal,95.0,1367.79,1,65-80
0,10,6,1,42.66,1,1,Cable,85.0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,50.35,570.51,0,25-34
0,0,30,1,2.64,1,1,DSL,15.0,1,0,0,0,1,Month-to-Month,1,Mailed Check,64.5,1967.65,0,55-64
0,0,27,1,20.66,0,0,No,0.0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,19.4,1087.62,0,25-34
0,3,70,1,39.49,1,1,Fiber Optic,28.0,0,1,1,0,1,One Year,1,Bank Withdrawal,104.8,10067.14,0,65-80
0,10,57,1,8.01,1,1,Fiber Optic,73.0,0,1,1,1,1,One Year,1,Bank Withdrawal,109.4,6709.27,0,18-24
0,10,58,1,18.37,0,1,DSL,18.0,0,0,1,0,1,One Year,0,Credit Card,50.3,3933.78,0,55-64
0,0,16,1,25.71,1,1,DSL,48.0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,71.4,1623.46,0,18-24
0,3,69,1,38.52,1,1,Fiber Optic,27.0,1,1,1,1,1,Two Year,1,Bank Withdrawal,116.0,10840.73,0,55-64
0,0,1,1,31.77,0,0,No,0.0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,19.85,51.62,1,25-34
0,0,1,1,40.71,1,1,Fiber Optic,25.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,99.75,140.46,1,55-64
1,9,32,1,31.86,0,1,Fiber Optic,23.0,0,1,0,0,1,One Year,1,Mailed Check,93.95,3880.97,0,65-80
2,8,16,1,48.71,1,1,Fiber Optic,12.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,90.8,2221.56,0,45-54
0,1,49,1,39.55,1,1,Cable,10.0,1,0,1,1,1,One Year,0,Bank Withdrawal,84.35,5997.3,1,55-64
0,2,71,0,0.0,0,1,Cable,29.0,0,1,1,1,1,Two Year,0,Bank Withdrawal,58.25,4145.9,0,35-44
0,0,33,1,49.69,1,1,Fiber Optic,12.0,0,1,1,0,1,Month-to-Month,0,Bank Withdrawal,107.55,5285.27,0,35-44
0,9,10,1,49.6,0,0,No,0.0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,19.95,683.75,0,18-24
0,1,21,1,36.26,1,1,Fiber Optic,59.0,0,1,1,1,0,Month-to-Month,1,Bank Withdrawal,111.2,3198.56,1,18-24
1,1,37,0,0.0,0,1,DSL,23.0,1,1,1,0,1,Month-to-Month,0,Bank Withdrawal,40.2,1448.8,1,45-54
0,0,26,1,33.74,0,1,Fiber Optic,7.0,1,0,0,0,1,Month-to-Month,1,Credit Card,85.8,3070.89,0,65-80
0,0,50,0,0.0,0,1,DSL,7.0,1,0,0,1,1,One Year,1,Credit Card,35.4,1748.9,0,45-54
0,0,7,1,28.62,1,1,Fiber Optic,26.0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,73.85,698.56,1,25-34
0,1,61,1,47.19,1,1,DSL,28.0,1,1,1,1,1,Two Year,0,Mailed Check,88.1,8405.34,0,55-64
0,0,15,1,45.92,0,1,Fiber Optic,12.0,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,101.35,2242.75,1,35-44
2,0,26,0,0.0,0,1,DSL,19.0,1,0,0,1,1,Month-to-Month,0,Credit Card,45.8,1147.0,0,45-54
0,9,72,1,33.22,0,1,Fiber Optic,23.0,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,94.65,9139.19,0,35-44
0,1,44,1,27.4,0,0,No,0.0,0,0,0,0,0,One Year,1,Bank Withdrawal,20.5,2070.65,0,55-64
